paper_id,question,true_label,predicted_label,true_answer,predicted_answer,model_name
1804.04410v2,How does the performance of the learned policy compare to the production baseline for CAT2 queries in terms of relevance and efficiency?,227,40,"For CAT2 queries, the learned policy shows a slight improvement in relevance (NCG) for the weighted set and a significant reduction in index blocks accessed for both weighted and unweighted sets.",The adaptive model consistently outperforms the fixed model for all values of α.,text_model_embed300_hidden150
1812.00281v3,What is the relationship between the camera yaw angle and the silhouette distance?,433,19,The silhouette distance generally increases as the camera yaw angle increases.," The interference graph is a folded version of the query graph. The nodes in the interference graph represent regions, and the edges represent the interference between regions. The edge weights in the interference graph are calculated from the edge weights in the query graph.",text_model_embed300_hidden150
1901.00398v2," Which type of review was more accurately identified by the human evaluators, human-written or machine-generated? ",521,418,The human evaluators were more accurate at identifying human-written reviews than machine-generated reviews.,Mixture of classifiers.,text_model_embed300_hidden150
1608.02784v2,What is the role of the temperature variable t in the CCA decoding algorithm?,31,257,"The temperature variable t controls the probability of accepting a new candidate solution y. As t decreases, the probability of accepting a worse solution decreases.",The BiLSTM takes as input the character-level representations of the words and outputs a word-level representation for each word.,text_model_embed300_hidden150
1707.06320v2,How do the word embeddings learned by the Cap2Img model compare to the original GloVe embeddings in terms of semantic similarity?,528,616,The word embeddings learned by the Cap2Img model outperform the original GloVe embeddings in terms of semantic similarity.,"The Daitch hard scalable model has a higher connectivity than the Daitch soft scalable model. This can be seen in the figure, where the bars for the hard model are generally higher than the bars for the soft model.",text_model_embed300_hidden150
1707.01917v2,Which method achieves the highest accuracy on the Shootings dataset?,499,285,TFBA,PC-DenseNet-161,text_model_embed300_hidden150
1803.04572v2,How do the temporal patterns of phenotype magnitude differ between sickle cell anemia and leukemia patients?,151,235,"The temporal patterns of phenotype magnitude differ between sickle cell anemia and leukemia patients in terms of both shape and magnitude. For sickle cell anemia patients, the patterns are generally smoother and more periodic, with lower overall magnitude. For leukemia patients, the patterns are more erratic and have higher overall magnitude.",TRPO generally converges faster to the true gradient than PPO.,text_model_embed300_hidden150
1811.10673v1,How does the proposed method compare to H.264 in terms of MS-SSIM score at low bitrates?,398,402,The proposed method achieves significantly higher MS-SSIM scores than H.264 at bitrates below 10 Kbps.,The proposed model delivers significantly better visual quality at low bitrates than H.264.,text_model_embed300_hidden150
1811.10673v1,How does the quality of the reconstructed frames change as the resolution increases?,404,474,The quality of the reconstructed frames increases monotonically as the resolution increases.,The quality of the generated samples decreases as the update threshold increases.,text_model_embed300_hidden150
1803.02750v3,Which topology has the highest transmission rate for GMap 100%?,115,478,Mesh,F-DSS,text_model_embed300_hidden150
1704.07854v4,How do the initial conditions of the simulations vary?,224,191,The initial conditions of the simulations vary in two dimensions: the position of the liquid drop along the x-axis (α1) and the size of the drop (α2).,The reconstructions are very similar to the original samples.,text_model_embed300_hidden150
1812.00281v3,How does HUMBI capture diverse appearance of human expressions?,441,161,"HUMBI includes 772 distinctive subjects across gender, ethnicity, age, clothing style, and physical condition, which generates diverse appearance of human expressions.",Conventional distant supervision can lead to wrong labeling of textual relations with KB relations.,text_model_embed300_hidden150
1805.04687v2,Which weather condition has the highest classification accuracy?,377,451,Clear weather.,VIDXL has the highest Recall@20 and MRR@20.,text_model_embed300_hidden150
1703.04887v4,"Which model and configuration achieves the best performance on the Chinese-English translation task, and how much improvement does it offer compared to the baseline RNNSearch model?",134,526,The Transformer+BR-CSGAN model with λ=0.8 achieves the best performance on the Chinese-English translation task with an average BLEU score of 42.61. This represents an improvement of 0.81 BLEU points compared to the baseline RNNSearch model.,"GroundSent-Cap appears to be most beneficial for the MRPC task, achieving an accuracy of 72.9/82.2 compared to the baseline model ST-LN's 69.6/81.2.",text_model_embed300_hidden150
1703.04887v4,What is the relationship between the number of Monte Carlo samples (N) and the translation performance of the BR-CSGAN model? Why is there a trade-off when choosing the value of N?,131,123,"The table and passage show that the translation performance of the BR-CSGAN model generally improves as the number of Monte Carlo samples (N) increases. However, this improvement plateaus after N reaches a certain point (around 20 in this case).

There is a trade-off when choosing the value of N because increasing N also increases the computational complexity and training time. While a higher N leads to more accurate reward estimations and better performance, it also requires more computational resources and longer training times. Therefore, choosing the optimal N involves balancing the desired performance with the available computational resources and time constraints.","When the sample size is 2000, the two-phase framework (MSG) achieves lower discrimination in prediction compared to DI, both with and without classifier tweaking.

With classifier tweaking: MSG achieves a discrimination level of 0.016 ± 5.3E-4, while DI shows a significantly higher level of 0.095 ± 1.6E-3.
Without classifier tweaking: MSG still demonstrates lower discrimination with 0.067 ± 4.3E-3 compared to DI's 0.095 ± 1.6E-3.

This indicates that the two-phase framework is more effective in removing discrimination from predictions than DI, regardless of whether classifier tweaking is applied.",text_model_embed300_hidden150
1708.05239v3,How does the performance of the PE-N=5 sampler compare to the HMC sampler?,573,226,The PE-N=5 sampler performs better than the HMC sampler.,The RL policy accesses fewer index blocks than the baseline.,text_model_embed300_hidden150
1805.06447v3,How does the ITN framework generate pseudo-negative samples?,470,574,The ITN framework generates pseudo-negative samples by applying learned transformations to positive samples.,"Square hashing is a process that uses two hash functions to map a source/destination pair to a bucket in a two-dimensional array. The first hash function, h_i(s), maps the source address to a row in the array, and the second hash function, h_i(d), maps the destination address to a column in the array. The intersection of the row and column is the bucket where the fingerprint is stored.",text_model_embed300_hidden150
1701.03077v10,"What is the effect of replacing the loss function in the ""Baseline"" network with the ""adaptive"" loss over wavelet coefficients?",43,5,"Replacing the loss function in the ""Baseline"" network with the ""adaptive"" loss over wavelet coefficients results in significantly improved depth estimates.",The ReOrth Layer re-orthogonalizes the output of the FRMap Layer.,text_model_embed300_hidden150
1611.05742v3,"Which method performs best on the PaSC dataset for the handheld testing scenario (PaSC2), and how does its performance compare to other methods?",7,509,"The method that performs best on the PaSC dataset for the handheld testing scenario (PaSC2) is SPDNet, with an accuracy of 72.83%. This performance is slightly higher than GrNet-2Blocks (72.76%) and significantly higher than other methods like VGGDeepFace (68.24%) and DeepO2P (60.14%).","The SYNONYMNET(Pairwise) model with Leaky Unit performs best on the PubMed + UMLS dataset, achieving an AUC of 0.9838 and a MAP of 0.9872. This is a statistically significant improvement over the DPE baseline, which achieved an AUC of 0.9513 and a MAP of 0.9623.",text_model_embed300_hidden150
1707.01922v5,What is the difference between testing domain adaptation and testing sensor fusion?,515,89,"In testing domain adaptation, the source and target CNNs are trained on different domains, and the joint classifier is used to predict the class of the target data. In testing sensor fusion, the source and target CNNs are trained on the same domain, and the joint classifier is used to predict the class of the target data using both the source and target data.","A standard cost volume computes the matching costs for a neighborhood of the same location on the feature maps of the first and second images. A deformable cost volume computes the matching costs for a dilated neighborhood of the same location on the feature maps of the first and second images, offset by a flow vector.",text_model_embed300_hidden150
1611.02654v2,What can you say about the relationship between the sentences in a document based on the t-SNE embeddings?,36,487,Sentences that are closer together in the embedding space are more semantically similar than those that are farther apart.,"The predicted frame is generated by the prediction model, while the reconstructed frame is generated by the autoencoder. The predicted frame is typically more accurate than the reconstructed frame, as the prediction model is trained to predict the future state of the environment, while the autoencoder is only trained to reconstruct the input image.",text_model_embed300_hidden150
1804.07849v4,"Which method achieved the highest average V-measure (VM) across all languages, and how much higher was its average compared to the Baum-Welch method?",255,645,"The Variational $\wh{J}^{\mathrm{var}}$ method achieved the highest average VM score (50.4). Its average score is 39.6 points higher than the Baum-Welch method, which achieved an average VM score of 10.8.","For all datasets presented, Incremental SVM achieved a slightly lower OFV compared to FISVDD. However, this does not necessarily mean that Incremental SVM is definitively better.",text_model_embed300_hidden150
1811.08257v1,How is convolution represented in the frequency domain?,290,582,"In the frequency domain, convolution is represented by element-wise multiplication.",Edge query.,text_model_embed300_hidden150
1706.00633v4,Which combination of training procedure and thresholding metric consistently performs the best across both MNIST and CIFAR-10 datasets for all attack types?,389,350,RCE training combined with the K-density metric consistently performs the best across both MNIST and CIFAR-10 datasets for all attack types.,TecoGAN,text_model_embed300_hidden150
1706.03847v3,What is the performance of GRU4Rec relative to the baseline in terms of watch time?,447,615,GRU4Rec has a slightly higher performance than the baseline in terms of watch time.,Adding Gaussian noise to the images increases the measured sparsity.,text_model_embed300_hidden150
1710.05654v2,"How well do the approximate bounds of $\theta$ predict sparsity in the ""spherical"" dataset?",613,371,"The approximate bounds of $\theta$ are very effective at predicting sparsity in the ""spherical"" dataset.",City Street,text_model_embed300_hidden150
1811.08257v1,What is the function of the DataPreprocessing function?,293,371,"The DataPreprocessing function performs Yao Sharing, which is a cryptographic technique for securely sharing data between multiple parties.",City Street,text_model_embed300_hidden150
1709.02755v5,"Based on the table, how does the training process handle large vocabulary sizes?",588,549,"The training process uses several techniques to handle large vocabulary sizes. These include:

1. **Token-based batching:** Instead of grouping sentences of similar lengths together, the training process batches together a fixed number of tokens (5120 tokens per batch). This approach ensures that the model sees a consistent amount of vocabulary regardless of sentence length variation.
2. **Shared embedding:** This technique maps both source and target words to the same embedding space, effectively reducing the memory footprint needed to store word representations. 
3. **Positional encoding:** This method injects information about the position of words in a sentence into the model, helping it better understand long-range dependencies within the text. ","The CoNLL model performed best on the WikiCoref dataset, with an F1 score of 53.40 when using the +linguistic evaluation metric.",text_model_embed300_hidden150
1705.09882v2,What is the difference between the grayscale depth representation and the result after background subtraction?,327,71," The grayscale depth representation shows the depth of each pixel in the image, with darker pixels representing closer objects and lighter pixels representing further objects. The result after background subtraction shows only the foreground object, with the background removed.","The ""True max"" curve is the true maximum of the function, while the ""ALOQ"" curve is an approximation of the maximum. The ""ALOQ"" curve is lower than the ""True max"" curve, indicating that it underestimates the maximum value of the function.",text_model_embed300_hidden150
1605.07496v3,"Between WSN and ALOQ, which method is the most efficient in terms of runtime for both F-SRE1 and F-SRE2?",69,184,ALOQ is significantly more efficient than WSN.,The VQA dataset presents the biggest challenge.,text_model_embed300_hidden150
1704.05958v2,Can you estimate the percentage of entity pairs in the NYT training set that have a corresponding relational fact in the Knowledge Base (KB)?,160,448,Approximately 6.66%.,"The VIDXL dataset contains the most interactions (events) in the training set with 69,312,698 events. This is roughly 7.7 times larger than the RSC15 dataset, which has the least interactions (9,011,321) in the training set. ",text_model_embed300_hidden150
1705.02946v3,What is the upper bound on the query complexity for finding an ε-perfect allocation with minimum cuts for 3 or more players?,267,207,O(n^3 / ε),The difference in response time between CoAP and HTTP for a response size of 50 KiB is approximately 20 seconds.,text_model_embed300_hidden150
1705.09296v2,How does the model capture different perspectives on immigration when considering tone as a covariate?,311,269,"The model captures different perspectives on immigration by highlighting contrasting words associated with the same topic, depending on whether the tone is anti-immigration or pro-immigration.","It is difficult to say definitively which model performs better based on the training curves alone. However, it appears that the WGAN(g) model may be performing better than the other models, as its generator and discriminator losses are both lower than the other models.",text_model_embed300_hidden150
1703.04887v4,What is the role of the discriminator (D) in the proposed BR-CSGAN model?,135,644," The discriminator (D) is responsible for distinguishing between real sentence pairs translated by humans and generated sentence pairs produced by the generator (G). It provides feedback to G in the form of rewards, helping G improve its ability to generate realistic sentence pairs.",The LSTM network is used to process the post text and generate a post text embedding.,text_model_embed300_hidden150
1804.07849v4,"Which method achieved the highest accuracy on the 45-tag Penn WSJ dataset, and how does its performance compare to the other methods?",253,229,"The Variational $\wh{J}^{\mathrm{var}}$ method achieved the highest accuracy of 78.1% on the 45-tag Penn WSJ dataset. This is significantly higher than all other methods listed in the table, with the next best performing method (Berg-Kirkpatrick et al., 2010) achieving an accuracy of 74.9%.",The saliency map method with the highest sAUC score is **SIM**. Its sAUC score appears to be significantly higher than all other methods listed in the table.,text_model_embed300_hidden150
1705.09966v2,"Which of the methods among Conditional GAN, Unsupervised GAN and Consitional CycleGAN would you expect to produce images that are most visually similar to the real images in the CelebA dataset?",340,252,The Conditional CycleGAN method is expected to produce images most visually similar to the real images.,"LambdaMART initial list, DLCM model, and AttRank loss function achieved the best overall performance on the Yahoo! set 1, with an nDCG@10 of 0.743 and an ERR@10 of 0.453.",text_model_embed300_hidden150
1805.06431v4,How does the performance of the different models change as the corruption level increases? Which model appears to be the most robust to label corruption?,419,526,"As the corruption level increases, the performance of all models decreases. However, ChoiceNet consistently outperforms both ConvNet and ConvNet+Mixup across all corruption levels, maintaining high accuracy even when almost half of the labels are incorrect. This suggests that ChoiceNet is significantly more robust to label corruption compared to the other models.","GroundSent-Cap appears to be most beneficial for the MRPC task, achieving an accuracy of 72.9/82.2 compared to the baseline model ST-LN's 69.6/81.2.",text_model_embed300_hidden150
1811.02721v3,"Based on Table 1 and the passage, why does TCP perform poorly on IEEE 802.15.4 networks compared to other network types listed? ",203,180,"TCP performs poorly on IEEE 802.15.4 networks because the Maximum Transmission Unit (MTU) for these networks is significantly smaller than other network types. This small MTU size results in a high percentage of overhead due to the TCP/IP headers, exceeding 50%. ","The MLP-IQA model achieved the highest accuracy in the ""All"" category of Visual7W, with a score of 45.1%. However, this performance still falls significantly short of human performance, which stands at 84.1% for the same category.",text_model_embed300_hidden150
