image_path,true_label,predicted_label,true_answer,predicted_answer,model_name
OverheatData/OverheatData\1701.03077v10\1701.03077v10-Figure17-1.png,51,167,The proposed method appears to be more accurate than the baseline method. The depth maps generated by the proposed method are more detailed and realistic than those generated by the baseline method.,"The attention map generated by proposed method is able to localize regions that were weak or non-existent in the activations of the input maps, while the VGG16 feature map simply amplifies the activations present in VGG16 channels.",resnet101
OverheatData/OverheatData\1901.00056v2\1901.00056v2-Figure1-1.png,512,2,The Leaky Unit helps to aggregate the context information from different sources and allows the model to learn the relationships between entities and their contexts.,KEHNN,resnet101
OverheatData/OverheatData\1802.07351v2\1802.07351v2-Figure3-1.png,93,562,The relation module (Rt) is responsible for capturing the spatial relationships between the features extracted from the first and second images.,GB-KMV performs better than LSH-E in terms of F1 Score and Precision.,resnet101
OverheatData/OverheatData\1707.01917v2\1707.01917v2-Table5-1.png,499,322,TFBA,"The DNN trained with DLA achieved the best performance in terms of both nDCG@10 (0.421) and ERR@10 (0.582). Compared to not using any correction method (NoCorrect), DLA shows a significant improvement in both metrics, with nDCG@10 being higher by 0.063 and ERR@10 being higher by 0.082.",resnet101
OverheatData/OverheatData\1805.04687v2\1805.04687v2-Table10-1.png,375,132,"The proposed dataset contains non-city scenes like highways, which typically have fewer pedestrians per image compared to cityscapes.",The BLEU score decreases as the initial accuracy of the discriminator increases.,resnet101
OverheatData/OverheatData\1805.06431v4\1805.06431v4-Table7-1.png,414,320,"ChoiceNet appears to be the safest method for autonomous driving on straight lanes, regardless of the percentage of outlier vehicles present.","Task T1 and T2 required the highest learning rate of 0.001. This is twice the learning rate used for CamRest, which was trained with a learning rate of 0.0005.",resnet101
OverheatData/OverheatData\1805.00912v4\1805.00912v4-Figure1-1.png,299,132,MTSA,The BLEU score decreases as the initial accuracy of the discriminator increases.,resnet101
OverheatData/OverheatData\1805.06447v3\1805.06447v3-Table5-1.png,471,157,ITN (ResNet-32) with data augmentation performs best on the CIFAR-10 dataset with a testing error of 5.82%.,"SNLI performs better than MultiNLI when considering the percentage of individual labels that match the author's label. SNLI has a score of 85.8%, while MultiNLI has a score of 85.2%.",resnet101
OverheatData/OverheatData\1706.00633v4\1706.00633v4-Table2-1.png,389,623,RCE training combined with the K-density metric consistently performs the best across both MNIST and CIFAR-10 datasets for all attack types.,"According to the table, Algorithm 2 w/ Geman-McLure) achieves the best overall F1 score of 0.56514. However, this method is not consistently the best across all individual categories. For example, OMoGMF has a higher F1 score for the ""badWeather"" category.",resnet101
OverheatData/OverheatData\1701.06171v4\1701.06171v4-Figure4-1.png,119,150,22 iterations,"Non-negativity, smoothness, and sparsity.",resnet101
OverheatData/OverheatData\1706.04284v3\1706.04284v3-Figure5-1.png,458,442," The denoiser trained with the classification network and evaluated for semantic segmentation performs the best on the sheep image. This is because the segmentation label map for this denoiser is the most accurate, and it correctly identifies the sheep's body and legs. ","The median appearance is the average of all the multiview images, while the view-specific appearance is a single image that is rendered from a specific viewpoint.",resnet101
OverheatData/OverheatData\1809.03149v2\1809.03149v2-Figure3-1.png,599,67,The percentage of ads displayed for each user is higher when CHER is used.,ALOQ,resnet101
OverheatData/OverheatData\1707.08608v3\1707.08608v3-Table11-1.png,530,586,"The PT genre within the SRL-NW network has the lowest failure rate at 10.01%. Its inference time is also the lowest across all genres in the SRL-NW network for all three inference procedures (Viterbi, GBI, and A*).",The processing time of SRU is significantly faster than that of cuDNN LSTM and word-level convolution with filter widths k=2 and k=3.,resnet101
OverheatData/OverheatData\1811.07073v3\1811.07073v3-Figure3-1.png,260,385,The input to the convolutional self-correction model is the logits generated by the primary and ancillary models.,Train,resnet101
OverheatData/OverheatData\1809.01246v1\1809.01246v1-Figure13-1.png,575,573,The buffer percentage decreases as the width of the room increases.,The PE-N=5 sampler performs better than the HMC sampler.,resnet101
OverheatData/OverheatData\1809.03449v3\1809.03449v3-Figure1-1.png,608,501,"The Knowledge Aided Similarity Matrix is used to compute the similarity between the question and passage context embeddings. This similarity score is then used to weight the passage context embeddings, giving more weight to those parts of the passage that are most relevant to the question.","The normalized reconstruction error decreases as the projection sparsity increases, up to a certain point. After that, the error starts to increase again.",resnet101
OverheatData/OverheatData\1805.04687v2\1805.04687v2-Table9-1.png,380,132,"The training approach ""Det + T + I + S"" achieved the best balance between minimizing false negatives (FN) and false positives (FP) in object detection, while also maintaining a high MOTSA score.",The BLEU score decreases as the initial accuracy of the discriminator increases.,resnet101
OverheatData/OverheatData\1803.02750v3\1803.02750v3-Figure8-1.png,115,147,Mesh,The AUC of RippleNet first increases and then decreases with the increase of the dimension of embedding.,resnet101
OverheatData/OverheatData\1811.02721v3\1811.02721v3-Figure11-1.png,209,132,TCP,The BLEU score decreases as the initial accuracy of the discriminator increases.,resnet101
OverheatData/OverheatData\1603.00286v5\1603.00286v5-Figure2-1.png,58,369,Six.,Cars have the largest total number of annotations.,resnet101
OverheatData/OverheatData\1901.00056v2\1901.00056v2-Table2-1.png,509,37,"The SYNONYMNET(Pairwise) model with Leaky Unit performs best on the PubMed + UMLS dataset, achieving an AUC of 0.9838 and a MAP of 0.9872. This is a statistically significant improvement over the DPE baseline, which achieved an AUC of 0.9513 and a MAP of 0.9623.","The proposed model has the highest accuracy on the NIPS Abstracts dataset, with an accuracy of 51.55.",resnet101
OverheatData/OverheatData\1805.00912v4\1805.00912v4-Table2-1.png,301,95,The Transfer + MTSA model performed best on the SNLI test set with an accuracy of 86.9%.,"PWC-Net (ft) achieved the best performance on the KITTI 2015 test set with an F1-all score of 9.16%. This is significantly better than Devon (ft), which achieved an F1-all score of 14.31% on the same dataset. ",resnet101
OverheatData/OverheatData\1812.00108v4\1812.00108v4-Table3-1.png,431,376,"The performance of the model generally improves as the number of views increases. For example, when the model is trained and tested on two-view data, the F1-score is 29.67. However, when the model is trained and tested on three-view data, the F1-score increases to 30.2. This suggests that the model is able to learn more effectively from data with more views.","As the threshold (τ) increases, the ODS-F scores for direction, continuity, and category generally increase as well. This indicates that the model performs better in detecting lane markings with higher thresholds, meaning it can tolerate larger deviations from the ground truth annotations.",resnet101
OverheatData/OverheatData\1804.01429v3\1804.01429v3-Figure1-1.png,195,198,"An agent-in-place action is an action that is performed by an agent in a specific place, while a generic action category is a more general category of action that does not specify the place where the action is performed.",The LIVR framework decomposes semantic features into different places by utilizing bitmaps encoded with the semantic labels of places. This decomposition encourages the network to learn features of generic place-based motion patterns that are independent of scene layouts.,resnet101
OverheatData/OverheatData\1812.06589v2\1812.06589v2-Figure4-1.png,465,130,"The dynamic attention block decouples the lip-related and identity-related information, allowing the network to focus on the most important area for generating realistic talking faces.",The performance of LSTNet-attn generally improves as the horizon increases on the Solar-Energy dataset. This is evident from the fact that both the RMSE and correlation values improve with increasing horizon.,resnet101
OverheatData/OverheatData\1611.07718v2\1611.07718v2-Figure2-1.png,9,40,"Deep residual networks have skip connections that allow the gradient to flow directly from one layer to another, while networks built by stacking inception-like blocks do not.",The adaptive model consistently outperforms the fixed model for all values of α.,resnet101
OverheatData/OverheatData\1707.01917v2\1707.01917v2-Table3-1.png,495,404,The NYT Sports dataset has the highest value for λa (0.9).,The quality of the reconstructed frames increases monotonically as the resolution increases.,resnet101
OverheatData/OverheatData\1805.06431v4\1805.06431v4-Figure8-1.png,415,370,ChoiceNet,The segmentation model learns to interpolate in areas that have no lane markings.,resnet101
OverheatData/OverheatData\1611.03780v2\1611.03780v2-Figure2-1.png,19,581," The interference graph is a folded version of the query graph. The nodes in the interference graph represent regions, and the edges represent the interference between regions. The edge weights in the interference graph are calculated from the edge weights in the query graph.",The average precision of TCM(256*memory) is lower than the other two algorithms in the email-EuAll dataset.,resnet101
OverheatData/OverheatData\1608.02784v2\1608.02784v2-Figure6-1.png,27,341,"The SMT outputs are literal translations of the images, while the CCA outputs take into account the context of the images and generate more natural-sounding descriptions.","The proposed attribute-guided face generation method preserves the identity of the person in the high-resolution result, while conventional face super-resolution methods do not necessarily guarantee this.",resnet101
OverheatData/OverheatData\1701.03077v10\1701.03077v10-Figure5-1.png,47,81,The performance of gFGR generally improves as the shape parameter α increases.,The noisy version q̂t at time t is equal to the true market state qt plus a sum of Laplace noise vectors obtained by following the arrows all the way back to 0.,resnet101
OverheatData/OverheatData\1705.02798v6\1705.02798v6-Table3-1.png,242,10,R.M.-Reader.,"The residual block assembles two residual branches sequentially, while the merge-and-run block assembles the same two residual branches in parallel.",resnet101
OverheatData/OverheatData\1805.04609v3\1805.04609v3-Figure3-1.png,360,391,US-HC-MQ,C&W-hc,resnet101
OverheatData/OverheatData\1611.03780v2\1611.03780v2-Table1-1.png,23,573,Both GeoCUTS and DMA perform equally well for highly active users in the US.,The PE-N=5 sampler performs better than the HMC sampler.,resnet101
OverheatData/OverheatData\1901.00398v2\1901.00398v2-Figure8-1.png,523,586,The AMT workers are being asked to decide whether each of twenty one paragraphs extracted from product reviews is real (written by a person) or fake (written by a computer algorithm).,The processing time of SRU is significantly faster than that of cuDNN LSTM and word-level convolution with filter widths k=2 and k=3.,resnet101
OverheatData/OverheatData\1906.06589v3\1906.06589v3-Figure2-1.png,605,589,The generalization gap increases as the average X_ref entropy increases.,"According to the passage, the variance of the hidden state is approximately equal to the variance of the input in deep layers.",resnet101
OverheatData/OverheatData\1811.07073v3\1811.07073v3-Figure5-1.png,264,370,The ancillary heatmap is used to correct the labels for missing or oversegmented objects in the images.,The segmentation model learns to interpolate in areas that have no lane markings.,resnet101
OverheatData/OverheatData\1809.00458v1\1809.00458v1-Figure5-1.png,550,12,ENRON,DMRNet,resnet101
OverheatData/OverheatData\1803.03467v4\1803.03467v4-Table3-1.png,143,67,RippleNet*,ALOQ,resnet101
OverheatData/OverheatData\1809.00458v1\1809.00458v1-Figure1-1.png,560,98,0.67,"The observed error is initially higher than the underlying true error, but it quickly decreases and converges to the true error as CPU time increases.",resnet101
OverheatData/OverheatData\1606.07384v2\1606.07384v2-Figure2-1.png,75,558,RANSAC,"The element-hash value pairs are the elements of the signature, and the signature size is the number of element-hash value pairs in the signature.",resnet101
