image_path,true_label,predicted_label,true_answer,predicted_answer,model_name
OverheatData/OverheatData\1809.01246v1\1809.01246v1-Figure11-1.png,577,579,"The ARE of node queries generally decreases as the width increases for all configurations of GSS and TCM. However, there are some fluctuations in the ARE for some configurations.",The graph for the Caida-networkflow dataset shows the largest improvement in accuracy for the TCM(8*memory) method compared to the GSS(fsize=12) method.,resnet18
OverheatData/OverheatData\1708.05239v3\1708.05239v3-Figure9-1.png,572,171,PE-HMC (N=5),"The Silver Snatch and the Gold Snatch are positively correlated. As the Gold Snatch increases, the Silver Snatch also increases.",resnet18
OverheatData/OverheatData\1707.01922v5\1707.01922v5-Figure1-1.png,517,286,The task-irrelevant data is used to simulate the RGB representation using the gray scale image. This allows ZDDA to learn a joint network that can be used to classify digits in both the gray scale and RGB domains.,PC improves the localization ability of a CNN.,resnet18
OverheatData/OverheatData\1809.00458v1\1809.00458v1-Figure19-1.png,559,316,The running time of GB-KM increases as the F-1 score increases.,The encoder understands the last user utterance by using the memory cell representations of the dialog history and KB tuples.,resnet18
OverheatData/OverheatData\1603.03833v4\1603.03833v4-Table1-1.png,60,107,"The passage mentions that additional trajectories were generated for the ""Pick and Place"" task by reducing the frequency of the recorded demonstrations. This process was not applied to the ""Push to Pose"" task, therefore no ""Demonstrations after shift"" are listed for it.","The ""wdbc"" dataset would likely require the most computational resources for C-Tarone to analyze.",resnet18
OverheatData/OverheatData\1809.00458v1\1809.00458v1-Figure18-1.png,551,29,GB-KMV,The singular value decomposition step is used to find the projection matrices U and V.,resnet18
OverheatData/OverheatData\1701.03077v10\1701.03077v10-Figure17-1.png,51,240,The proposed method appears to be more accurate than the baseline method. The depth maps generated by the proposed method are more detailed and realistic than those generated by the baseline method.,"The sequential generation scheme generates each frame of the video independently, while the recurrent generation scheme uses the previous frame to generate the next frame. This can be seen in the optical flow images, which show the motion of pixels between frames. The recurrent scheme has a smoother flow of motion, while the sequential scheme has more abrupt changes.",resnet18
OverheatData/OverheatData\1901.00056v2\1901.00056v2-Figure1-1.png,512,595,The Leaky Unit helps to aggregate the context information from different sources and allows the model to learn the relationships between entities and their contexts.,"The relationship between position and CTR is complex and non-linear. In general, CTR decreases as position increases, but there are also local peaks and valleys in the CTR curve. This suggests that there are other factors besides position that affect CTR.",resnet18
OverheatData/OverheatData\1802.07351v2\1802.07351v2-Figure3-1.png,93,53,The relation module (Rt) is responsible for capturing the spatial relationships between the features extracted from the first and second images.,The most network-related reboots occurred between 18:00 and 20:00.,resnet18
OverheatData/OverheatData\1707.01917v2\1707.01917v2-Table5-1.png,499,324,TFBA,"Both TF-IDF and BM25 are features used to estimate the relevance of a document to a query. However, they differ in their underlying calculations.

TF-IDF: This feature represents the average product of term frequency (TF) and inverse document frequency (IDF) for each query term within different document sections (URL, title, content, and whole document). TF measures how often a term appears in a specific document section, while IDF measures how important that term is across the entire document collection.

BM25: This feature utilizes the BM25 ranking function, which is a probabilistic model that considers term frequency, document length, and average document length to estimate relevance. While it also considers term frequency like TF-IDF, it incorporates additional factors to improve the weighting scheme.",resnet18
OverheatData/OverheatData\1805.04687v2\1805.04687v2-Table10-1.png,375,101,"The proposed dataset contains non-city scenes like highways, which typically have fewer pedestrians per image compared to cityscapes.","There are approximately 9,719 negative samples in the training set of the CNSE dataset.",resnet18
OverheatData/OverheatData\1805.06431v4\1805.06431v4-Table7-1.png,414,420,"ChoiceNet appears to be the safest method for autonomous driving on straight lanes, regardless of the percentage of outlier vehicles present.",ChoiceNet appears to be the most robust to outliers in the training data.,resnet18
OverheatData/OverheatData\1805.00912v4\1805.00912v4-Figure1-1.png,299,453,MTSA,"The three main components of the Action Search model architecture are the visual encoder, the LSTM, and the spotting target.",resnet18
OverheatData/OverheatData\1805.06447v3\1805.06447v3-Table5-1.png,471,477,ITN (ResNet-32) with data augmentation performs best on the CIFAR-10 dataset with a testing error of 5.82%.,"The ITN (B-CNN) method with data augmentation (DA) performs best on the TMTA task, achieving a testing error of 21.31%. Data augmentation contributes significantly to its performance, as the ITN (B-CNN) method without DA has a higher testing error of 31.67%.",resnet18
OverheatData/OverheatData\1706.00633v4\1706.00633v4-Table2-1.png,389,460,RCE training combined with the K-density metric consistently performs the best across both MNIST and CIFAR-10 datasets for all attack types.,The proposed method performs the best on average across all noise levels tested on the Kodak dataset.,resnet18
OverheatData/OverheatData\1701.06171v4\1701.06171v4-Figure4-1.png,119,269,22 iterations,"It is difficult to say definitively which model performs better based on the training curves alone. However, it appears that the WGAN(g) model may be performing better than the other models, as its generator and discriminator losses are both lower than the other models.",resnet18
OverheatData/OverheatData\1706.04284v3\1706.04284v3-Figure5-1.png,458,191," The denoiser trained with the classification network and evaluated for semantic segmentation performs the best on the sheep image. This is because the segmentation label map for this denoiser is the most accurate, and it correctly identifies the sheep's body and legs. ",The reconstructions are very similar to the original samples.,resnet18
OverheatData/OverheatData\1809.03149v2\1809.03149v2-Figure3-1.png,599,249,The percentage of ads displayed for each user is higher when CHER is used.,The NegPair reduction generally increases as the number of perfect results in a query increases.,resnet18
OverheatData/OverheatData\1707.08608v3\1707.08608v3-Table11-1.png,530,308,"The PT genre within the SRL-NW network has the lowest failure rate at 10.01%. Its inference time is also the lowest across all genres in the SRL-NW network for all three inference procedures (Viterbi, GBI, and A*).","The topic with the highest internal coherence value is ""turks armenian armenia turkish roads escape soviet muslim mountain soul"".",resnet18
OverheatData/OverheatData\1811.07073v3\1811.07073v3-Figure3-1.png,260,464,The input to the convolutional self-correction model is the logits generated by the primary and ancillary models.,The frame discriminator is used to detect whether the generated frame and audio are matched or not.,resnet18
OverheatData/OverheatData\1809.01246v1\1809.01246v1-Figure13-1.png,575,225,The buffer percentage decreases as the width of the room increases.,"Documents are first matched using a pre-defined match plan. Then, they are passed through additional rank-and-prune stages, which are implemented as a cascade of machine learning models.",resnet18
OverheatData/OverheatData\1809.03449v3\1809.03449v3-Figure1-1.png,608,505,"The Knowledge Aided Similarity Matrix is used to compute the similarity between the question and passage context embeddings. This similarity score is then used to weight the passage context embeddings, giving more weight to those parts of the passage that are most relevant to the question.",Increasing the projection dimension d decreases the approximation error for both sparse PCA and NMF.,resnet18
OverheatData/OverheatData\1805.04687v2\1805.04687v2-Table9-1.png,380,552,"The training approach ""Det + T + I + S"" achieved the best balance between minimizing false negatives (FN) and false positives (FP) in object detection, while also maintaining a high MOTSA score.",LSH-E,resnet18
OverheatData/OverheatData\1803.02750v3\1803.02750v3-Figure8-1.png,115,85,Mesh,Headlines.,resnet18
OverheatData/OverheatData\1811.02721v3\1811.02721v3-Figure11-1.png,209,225,TCP,"Documents are first matched using a pre-defined match plan. Then, they are passed through additional rank-and-prune stages, which are implemented as a cascade of machine learning models.",resnet18
OverheatData/OverheatData\1603.00286v5\1603.00286v5-Figure2-1.png,58,15,Six.,The classification error of a residual network generally increases as the average path length increases.,resnet18
OverheatData/OverheatData\1901.00056v2\1901.00056v2-Table2-1.png,509,313,"The SYNONYMNET(Pairwise) model with Leaky Unit performs best on the PubMed + UMLS dataset, achieving an AUC of 0.9838 and a MAP of 0.9872. This is a statistically significant improvement over the DPE baseline, which achieved an AUC of 0.9513 and a MAP of 0.9623.","Seq2Seq and Mem2Seq models performed poorly because they struggled to capture the semantic representations of unseen entities. This means they couldn't understand the meaning and relationships of new restaurants introduced in the KB. As a result, they were unable to accurately identify the correct restaurant and provide its address when faced with unseen entities.",resnet18
OverheatData/OverheatData\1805.00912v4\1805.00912v4-Table2-1.png,301,383,The Transfer + MTSA model performed best on the SNLI test set with an accuracy of 86.9%.,"MOTS datasets require denser annotations per frame because they involve both segmentation and tracking of multiple objects in crowded scenes. This results in smaller dataset sizes compared to VOS datasets, which typically focus on segmenting a single or fewer objects. ",resnet18
OverheatData/OverheatData\1812.00108v4\1812.00108v4-Table3-1.png,431,432,"The performance of the model generally improves as the number of views increases. For example, when the model is trained and tested on two-view data, the F1-score is 29.67. However, when the model is trained and tested on three-view data, the F1-score increases to 30.2. This suggests that the model is able to learn more effectively from data with more views.",Ours-supervised achieved the highest F1 score on the Lobby dataset with a score of 93.4.,resnet18
OverheatData/OverheatData\1804.01429v3\1804.01429v3-Figure1-1.png,195,191,"An agent-in-place action is an action that is performed by an agent in a specific place, while a generic action category is a more general category of action that does not specify the place where the action is performed.",The reconstructions are very similar to the original samples.,resnet18
OverheatData/OverheatData\1812.06589v2\1812.06589v2-Figure4-1.png,465,346,"The dynamic attention block decouples the lip-related and identity-related information, allowing the network to focus on the most important area for generating realistic talking faces.",The proposed method is able to generate images with different hair colors more accurately than icGAN.,resnet18
OverheatData/OverheatData\1611.07718v2\1611.07718v2-Figure2-1.png,9,586,"Deep residual networks have skip connections that allow the gradient to flow directly from one layer to another, while networks built by stacking inception-like blocks do not.",The processing time of SRU is significantly faster than that of cuDNN LSTM and word-level convolution with filter widths k=2 and k=3.,resnet18
OverheatData/OverheatData\1707.01917v2\1707.01917v2-Table3-1.png,495,146,The NYT Sports dataset has the highest value for λa (0.9).,MovieLens-1M,resnet18
OverheatData/OverheatData\1805.06431v4\1805.06431v4-Figure8-1.png,415,484,ChoiceNet,FLoss,resnet18
OverheatData/OverheatData\1611.03780v2\1611.03780v2-Figure2-1.png,19,621," The interference graph is a folded version of the query graph. The nodes in the interference graph represent regions, and the edges represent the interference between regions. The edge weights in the interference graph are calculated from the edge weights in the query graph.",The Entropy Balancing (EB) and Covariate Control (CC) estimators.,resnet18
OverheatData/OverheatData\1608.02784v2\1608.02784v2-Figure6-1.png,27,370,"The SMT outputs are literal translations of the images, while the CCA outputs take into account the context of the images and generate more natural-sounding descriptions.",The segmentation model learns to interpolate in areas that have no lane markings.,resnet18
OverheatData/OverheatData\1701.03077v10\1701.03077v10-Figure5-1.png,47,585,The performance of gFGR generally improves as the shape parameter α increases.,The SRU model achieves comparable or slightly higher validation accuracy than the cuDNN LSTM and CNN models on all six benchmarks.,resnet18
OverheatData/OverheatData\1705.02798v6\1705.02798v6-Table3-1.png,242,337,R.M.-Reader.,UnCoRd-None-B.,resnet18
OverheatData/OverheatData\1805.04609v3\1805.04609v3-Figure3-1.png,360,473,US-HC-MQ,ITN generates more accurate and realistic samples on the MNIST dataset compared to AC-GATN.,resnet18
OverheatData/OverheatData\1611.03780v2\1611.03780v2-Table1-1.png,23,92,Both GeoCUTS and DMA perform equally well for highly active users in the US.,"The residual connection adds the output of a layer to the output of another layer, which helps to prevent the vanishing gradient problem.",resnet18
OverheatData/OverheatData\1901.00398v2\1901.00398v2-Figure8-1.png,523,61,The AMT workers are being asked to decide whether each of twenty one paragraphs extracted from product reviews is real (written by a person) or fake (written by a computer algorithm).," The frequency reduction process takes a high-frequency trajectory and samples it at a lower frequency, resulting in multiple trajectories with different starting and ending points. ",resnet18
OverheatData/OverheatData\1906.06589v3\1906.06589v3-Figure2-1.png,605,556,The generalization gap increases as the average X_ref entropy increases.,GB-KMV performs better in terms of F1 score and precision when the space used is 5%.,resnet18
OverheatData/OverheatData\1811.07073v3\1811.07073v3-Figure5-1.png,264,191,The ancillary heatmap is used to correct the labels for missing or oversegmented objects in the images.,The reconstructions are very similar to the original samples.,resnet18
OverheatData/OverheatData\1809.00458v1\1809.00458v1-Figure5-1.png,550,586,ENRON,The processing time of SRU is significantly faster than that of cuDNN LSTM and word-level convolution with filter widths k=2 and k=3.,resnet18
OverheatData/OverheatData\1803.03467v4\1803.03467v4-Table3-1.png,143,525,RippleNet*,Cap2Img performs the best for caption retrieval in terms of both R@1 (27.1) and MEDR (4.0). This suggests that the model is more successful at retrieving the most relevant caption for a given image compared to other models.,resnet18
OverheatData/OverheatData\1809.00458v1\1809.00458v1-Figure1-1.png,560,292,0.67,FALCON,resnet18
OverheatData/OverheatData\1606.07384v2\1606.07384v2-Figure2-1.png,75,129,RANSAC,"The LSTNet model has four main types of layers:

1. Convolutional layer: This layer extracts local dependency patterns from the input data. 
2. Recurrent and recurrent-skip layer: These layers capture long-term dependencies in the data. 
3. Fully connected and element-wise sum output layer: This layer combines the outputs from the convolutional and recurrent layers to produce the final prediction.
4. Autoregressive layer: This layer provides a linear bypass to the non-linear neural network part of the model. 

The convolutional layer receives the input data and passes its output to the recurrent and recurrent-skip layers. These layers then pass their output to the fully connected and element-wise sum output layer. The autoregressive layer receives the input data directly and its output is also fed into the fully connected and element-wise sum output layer.",resnet18
