image_path,true_label,predicted_label,true_answer,predicted_answer,model_name
OverheatData/OverheatData\1901.00056v2\1901.00056v2-Figure1-1.png,512,262,The Leaky Unit helps to aggregate the context information from different sources and allows the model to learn the relationships between entities and their contexts.,The bounding box encoder network embeds bounding box information at different scales and outputs attention maps that are used to fuse with feature maps from the encoder before being passed to the decoder.,resnet50
OverheatData/OverheatData\1802.07351v2\1802.07351v2-Figure3-1.png,93,562,The relation module (Rt) is responsible for capturing the spatial relationships between the features extracted from the first and second images.,GB-KMV performs better than LSH-E in terms of F1 Score and Precision.,resnet50
OverheatData/OverheatData\1707.01917v2\1707.01917v2-Table5-1.png,499,203,TFBA,"TCP performs poorly on IEEE 802.15.4 networks because the Maximum Transmission Unit (MTU) for these networks is significantly smaller than other network types. This small MTU size results in a high percentage of overhead due to the TCP/IP headers, exceeding 50%. ",resnet50
OverheatData/OverheatData\1805.04687v2\1805.04687v2-Table10-1.png,375,412,"The proposed dataset contains non-city scenes like highways, which typically have fewer pedestrians per image compared to cityscapes.",The Mean-Shift algorithm is robust to outliers.,resnet50
OverheatData/OverheatData\1805.06431v4\1805.06431v4-Table7-1.png,414,527,"ChoiceNet appears to be the safest method for autonomous driving on straight lanes, regardless of the percentage of outlier vehicles present.","The GroundSent-Both model performs best on the SNLI dataset, achieving an accuracy of 72.0%. Grounding contributes to an improvement of 4.7% compared to the baseline STb-1024 model, which achieves 67.3%.",resnet50
OverheatData/OverheatData\1805.00912v4\1805.00912v4-Figure1-1.png,299,629,MTSA,"ACNN performs best on ""Who"" questions.",resnet50
OverheatData/OverheatData\1805.06447v3\1805.06447v3-Table5-1.png,471,570,ITN (ResNet-32) with data augmentation performs best on the CIFAR-10 dataset with a testing error of 5.82%.,"LIME appears to place the most emphasis on specific, localized features.",resnet50
OverheatData/OverheatData\1706.00633v4\1706.00633v4-Table2-1.png,389,24,RCE training combined with the K-density metric consistently performs the best across both MNIST and CIFAR-10 datasets for all attack types.,"The WeakFG method achieved the highest P@1 score for the QA-Expert task with a score of 52.8. This is 23.2% higher than the average P@1 score of the D2V method, which was 29.6. ",resnet50
OverheatData/OverheatData\1701.06171v4\1701.06171v4-Figure4-1.png,119,57,22 iterations," 

In 2-D division, there may be unallocated cake even when there are geometric constraints on the pieces, as shown in Figure 1. This is not the case in 1-D division, where the entire cake can always be allocated.",resnet50
OverheatData/OverheatData\1706.04284v3\1706.04284v3-Figure5-1.png,458,21," The denoiser trained with the classification network and evaluated for semantic segmentation performs the best on the sheep image. This is because the segmentation label map for this denoiser is the most accurate, and it correctly identifies the sheep's body and legs. ","Paris, Bordeaux, and Lyon.",resnet50
OverheatData/OverheatData\1809.03149v2\1809.03149v2-Figure3-1.png,599,87,The percentage of ads displayed for each user is higher when CHER is used.,"The residual connection allows the output of a layer to be added to the output of another layer, which helps to improve the flow of information through the network.",resnet50
OverheatData/OverheatData\1707.08608v3\1707.08608v3-Table11-1.png,530,555,"The PT genre within the SRL-NW network has the lowest failure rate at 10.01%. Its inference time is also the lowest across all genres in the SRL-NW network for all three inference procedures (Viterbi, GBI, and A*).",REUTERS,resnet50
OverheatData/OverheatData\1811.07073v3\1811.07073v3-Figure3-1.png,260,430,The input to the convolutional self-correction model is the logits generated by the primary and ancillary models.,The Multi-DPP module increases diversity within the selected time-steps by using a determinantal point process (DPP) to select a subset of diverse time-steps from the input sequence.,resnet50
OverheatData/OverheatData\1809.01246v1\1809.01246v1-Figure13-1.png,575,486,The buffer percentage decreases as the width of the room increases.,Pacman,resnet50
OverheatData/OverheatData\1809.03449v3\1809.03449v3-Figure1-1.png,608,452,"The Knowledge Aided Similarity Matrix is used to compute the similarity between the question and passage context embeddings. This similarity score is then used to weight the passage context embeddings, giving more weight to those parts of the passage that are most relevant to the question.",The addition of negative samples increases the gradient of BPR and BPR-max with respect to the target score.,resnet50
OverheatData/OverheatData\1805.04687v2\1805.04687v2-Table9-1.png,380,365,"The training approach ""Det + T + I + S"" achieved the best balance between minimizing false negatives (FN) and false positives (FP) in object detection, while also maintaining a high MOTSA score.",The table shows that CDAN+E (w/o random sampling) achieves the highest average accuracy of 87.7% across all domain adaptation tasks. This is slightly higher than the performance of CDAN+E with uniform sampling (87.0%) and Gaussian sampling (86.4%).,resnet50
OverheatData/OverheatData\1803.02750v3\1803.02750v3-Figure8-1.png,115,451,Mesh,VIDXL has the highest Recall@20 and MRR@20.,resnet50
OverheatData/OverheatData\1811.02721v3\1811.02721v3-Figure11-1.png,209,205,TCP,"Increasing the buffer size generally leads to increased TCP goodput, but only up to a certain point.",resnet50
OverheatData/OverheatData\1603.00286v5\1603.00286v5-Figure2-1.png,58,397,Six.,Downsampling reduces the quality of reconstructed frames.,resnet50
OverheatData/OverheatData\1901.00056v2\1901.00056v2-Table2-1.png,509,90,"The SYNONYMNET(Pairwise) model with Leaky Unit performs best on the PubMed + UMLS dataset, achieving an AUC of 0.9838 and a MAP of 0.9872. This is a statistically significant improvement over the DPE baseline, which achieved an AUC of 0.9513 and a MAP of 0.9623.",Removing the normalization in the relation modules had the most significant negative impact on performance for the KITTI 2015 dataset.,resnet50
OverheatData/OverheatData\1805.00912v4\1805.00912v4-Table2-1.png,301,419,The Transfer + MTSA model performed best on the SNLI test set with an accuracy of 86.9%.,"As the corruption level increases, the performance of all models decreases. However, ChoiceNet consistently outperforms both ConvNet and ConvNet+Mixup across all corruption levels, maintaining high accuracy even when almost half of the labels are incorrect. This suggests that ChoiceNet is significantly more robust to label corruption compared to the other models.",resnet50
OverheatData/OverheatData\1812.00108v4\1812.00108v4-Table3-1.png,431,633,"The performance of the model generally improves as the number of views increases. For example, when the model is trained and tested on two-view data, the F1-score is 29.67. However, when the model is trained and tested on three-view data, the F1-score increases to 30.2. This suggests that the model is able to learn more effectively from data with more views.","The AdaQA (two-way) + att. model achieves the best performance on the SelQA dataset with a MAP score of 0.9021 and an MRR score of 0.9103. Compared to the baseline CNN model from Jurczyk et al. (2016) which has a MAP score of 0.8320 and an MRR score of 0.8420, the AdaQA (two-way) + att. model demonstrates a significant improvement in both metrics.",resnet50
OverheatData/OverheatData\1804.01429v3\1804.01429v3-Figure1-1.png,195,333,"An agent-in-place action is an action that is performed by an agent in a specific place, while a generic action category is a more general category of action that does not specify the place where the action is performed.",UnCoRd-VG-E,resnet50
OverheatData/OverheatData\1812.06589v2\1812.06589v2-Figure4-1.png,465,130,"The dynamic attention block decouples the lip-related and identity-related information, allowing the network to focus on the most important area for generating realistic talking faces.",The performance of LSTNet-attn generally improves as the horizon increases on the Solar-Energy dataset. This is evident from the fact that both the RMSE and correlation values improve with increasing horizon.,resnet50
OverheatData/OverheatData\1611.07718v2\1611.07718v2-Figure2-1.png,9,70,"Deep residual networks have skip connections that allow the gradient to flow directly from one layer to another, while networks built by stacking inception-like blocks do not.","The predicted return decreases as θ increases, with a minimum at around θ = 0.5.",resnet50
OverheatData/OverheatData\1707.01917v2\1707.01917v2-Table3-1.png,495,294,The NYT Sports dataset has the highest value for λa (0.9).,FALCON is faster for both setting up and running the FC layer.,resnet50
OverheatData/OverheatData\1805.06431v4\1805.06431v4-Figure8-1.png,415,378,ChoiceNet,Cars are the most common object in the dataset.,resnet50
OverheatData/OverheatData\1611.03780v2\1611.03780v2-Figure2-1.png,19,562," The interference graph is a folded version of the query graph. The nodes in the interference graph represent regions, and the edges represent the interference between regions. The edge weights in the interference graph are calculated from the edge weights in the query graph.",GB-KMV performs better than LSH-E in terms of F1 Score and Precision.,resnet50
OverheatData/OverheatData\1608.02784v2\1608.02784v2-Figure6-1.png,27,94,"The SMT outputs are literal translations of the images, while the CCA outputs take into account the context of the images and generate more natural-sounding descriptions.","The five deformable cost volumes in Devon's relation module are designed to capture multi-scale motion by combining dense correspondences near the image center with sparser correspondences in the periphery. This is achieved by using different neighborhood sizes (k) and dilation rates (r) for each cost volume, as shown in Table 1. Smaller neighborhood sizes and dilation rates result in denser correspondences, focusing on finer details and small displacements, while larger values capture broader context and larger motions.",resnet50
OverheatData/OverheatData\1701.03077v10\1701.03077v10-Figure5-1.png,47,97,The performance of gFGR generally improves as the shape parameter α increases.,Devon.,resnet50
OverheatData/OverheatData\1705.02798v6\1705.02798v6-Table3-1.png,242,404,R.M.-Reader.,The quality of the reconstructed frames increases monotonically as the resolution increases.,resnet50
OverheatData/OverheatData\1805.04609v3\1805.04609v3-Figure3-1.png,360,353,US-HC-MQ,The PP loss constrains the output sequence to be symmetric by reducing the L2 distance between corresponding frames in the forward and backward passes. This helps to reduce drifting artifacts and improve temporal coherence.,resnet50
OverheatData/OverheatData\1611.03780v2\1611.03780v2-Table1-1.png,23,473,Both GeoCUTS and DMA perform equally well for highly active users in the US.,ITN generates more accurate and realistic samples on the MNIST dataset compared to AC-GATN.,resnet50
OverheatData/OverheatData\1901.00398v2\1901.00398v2-Figure8-1.png,523,225,The AMT workers are being asked to decide whether each of twenty one paragraphs extracted from product reviews is real (written by a person) or fake (written by a computer algorithm).,"Documents are first matched using a pre-defined match plan. Then, they are passed through additional rank-and-prune stages, which are implemented as a cascade of machine learning models.",resnet50
OverheatData/OverheatData\1906.06589v3\1906.06589v3-Figure2-1.png,605,300,The generalization gap increases as the average X_ref entropy increases.,"The model with the highest test accuracy is MTSA, with an accuracy of 86.3%. Its training time per epoch is 180s, which is faster than the training time of several other models with lower accuracy, such as Bi-LSTM (854s), Bi-GRU (850s), and DiSA (390s).",resnet50
OverheatData/OverheatData\1811.07073v3\1811.07073v3-Figure5-1.png,264,21,The ancillary heatmap is used to correct the labels for missing or oversegmented objects in the images.,"Paris, Bordeaux, and Lyon.",resnet50
OverheatData/OverheatData\1809.00458v1\1809.00458v1-Figure5-1.png,550,152,ENRON,SPARTan converged faster in both cases of target rank.,resnet50
OverheatData/OverheatData\1803.03467v4\1803.03467v4-Table3-1.png,143,527,RippleNet*,"The GroundSent-Both model performs best on the SNLI dataset, achieving an accuracy of 72.0%. Grounding contributes to an improvement of 4.7% compared to the baseline STb-1024 model, which achieves 67.3%.",resnet50
OverheatData/OverheatData\1809.00458v1\1809.00458v1-Figure1-1.png,560,430,0.67,The Multi-DPP module increases diversity within the selected time-steps by using a determinantal point process (DPP) to select a subset of diverse time-steps from the input sequence.,resnet50
OverheatData/OverheatData\1606.07384v2\1606.07384v2-Figure2-1.png,75,473,RANSAC,ITN generates more accurate and realistic samples on the MNIST dataset compared to AC-GATN.,resnet50
